Code département,département,circonscription,Inscrits,Votants,Exprimés,Blancs et nuls,CHIRAC (UMP),LE PEN (FN)
1,AIN,1,80484,65134,61602,3532,50070,11532
1,AIN,2,82970,66761,63024,3737,47821,15203
1,AIN,3,76758,61342,58118,3224,47108,11010
1,AIN,4,97984,80566,76247,4319,59032,17215
2,AISNE,1,69968,56392,52466,3926,40665,11801
2,AISNE,2,72860,60076,56276,3800,43053,13223
2,AISNE,3,72590,57789,53767,4022,39310,14457
2,AISNE,4,76085,59609,55726,3883,41866,13860
2,AISNE,5,75389,61231,57402,3829,43016,14386
3,ALLIER,1,57771,46473,43374,3099,37051,6323
3,ALLIER,2,65554,51870,48310,3560,42339,5971
3,ALLIER,3,70074,57869,53817,4052,45905,7912
3,ALLIER,4,62686,50879,47680,3199,39315,8365
4,ALPES-DE-HAUTE-PROVENCE,1,53616,44257,41354,2903,32537,8817
4,ALPES-DE-HAUTE-PROVENCE,2,55285,45831,42949,2882,33919,9030
5,HAUTES-ALPES,1,52731,43901,41068,2833,33736,7332
5,HAUTES-ALPES,2,42344,34641,32640,2001,27020,5620
6,ALPES-MARITIMES,1,60985,42456,40531,1925,28310,12221
6,ALPES-MARITIMES,2,66541,46085,44329,1756,32201,12128
