Code département,département,circonscription,Inscrits,Votants,Exprimés,Blancs et nuls,SCHIVARDI (PT),LAGUILLER (LO),BESANCENOT (LCR),BOVE,BUFFET (PC),ROYAL (PS),VOYNET (VERTS),BAYROU (UDF),SARKOZY (UMP),DE VILLIERS MPF),LE PEN (FN),NIHOUS (CNPT)
1,AIN,1,86218,75087,74017,1070,279,812,2590,901,965,16856,1334,14465,24858,1957,8148,852
1,AIN,2,92003,77395,76395,1000,260,1022,2727,884,1298,15539,1189,14064,25695,1999,10940,778
1,AIN,3,85399,72636,71725,911,227,798,2460,1194,941,15500,1424,15015,23829,1566,7930,841
1,AIN,4,109279,95741,94461,1280,293,1033,3042,1025,1039,17554,1526,18575,34829,2491,11855,1199
2,AISNE,1,72153,60646,59793,853,269,1520,3490,746,1013,14704,754,8695,16900,1529,9279,894
2,AISNE,2,74499,62535,61672,863,255,1336,3358,500,1290,14466,692,8308,19024,1368,10367,708
2,AISNE,3,72034,60030,59027,1003,235,1639,3321,622,1156,14259,577,6608,16569,1559,11438,1044
2,AISNE,4,79058,65011,64166,845,262,1294,3505,620,1633,15581,750,8638,18204,1786,11141,752
2,AISNE,5,79731,67279,66307,972,292,1434,3385,859,1235,13825,922,9751,20421,1882,11519,782
3,ALLIER,1,58140,49351,48397,954,244,718,2428,455,1809,13191,625,9083,13362,1098,4714,670
3,ALLIER,2,66239,55594,54531,1063,219,976,3082,712,2855,15725,639,9741,14299,1180,4402,701
3,ALLIER,3,70570,61240,60044,1196,277,927,3067,877,3887,14541,845,10545,16045,1636,6262,1135
3,ALLIER,4,64588,55340,54412,928,178,749,2404,602,1346,12287,754,10331,17288,1378,6482,613
4,ALPES-DE-HAUTE-PROVENCE,1,58333,50484,49699,785,338,671,2204,1062,1366,12785,892,7966,14342,1072,5946,1055
4,ALPES-DE-HAUTE-PROVENCE,2,60603,52309,51441,868,285,551,2128,1196,1371,12746,835,8815,15979,1115,5419,1001
5,HAUTES-ALPES,1,57317,49483,48782,701,190,483,1990,1066,919,12146,931,9998,14539,1143,4501,876
5,HAUTES-ALPES,2,45638,39044,38541,503,129,389,1644,1098,702,9239,874,7291,12235,805,3291,844
6,ALPES-MARITIMES,1,57415,46808,46325,483,98,393,1129,522,1149,10175,602,6509,18210,898,6532,108
6,ALPES-MARITIMES,2,60941,49784,49361,423,96,329,1154,494,816,9601,626,7455,21536,875,6263,116
