Code département,Code département,circonscription,Inscrits,Votants,Exprimés,Blancs et nuls,ROYAL (PS),SARKOZY (UMP)
1,AIN,1,86218,74541,71285,3256,29745,41540
1,AIN,2,92002,77695,74432,3263,29338,45094
1,AIN,3,85426,72431,69398,3033,28870,40528
1,AIN,4,109309,94851,90739,4112,32736,58003
2,AISNE,1,72174,61107,58308,2799,28620,29688
2,AISNE,2,74478,63081,60261,2820,27906,32355
2,AISNE,3,72022,60271,57519,2752,27647,29872
2,AISNE,4,79062,65245,62454,2791,29463,32991
2,AISNE,5,79619,67687,64465,3222,27706,36759
3,ALLIER,1,58138,49404,47106,2298,24498,22608
3,ALLIER,2,66196,55366,52694,2672,29519,23175
3,ALLIER,3,70574,61049,57983,3066,30119,27864
3,ALLIER,4,64595,54858,52085,2773,23306,28779
4,ALPES DE HAUTE PROVENCE,1,58319,50885,48575,2310,23101,25474
4,ALPES DE HAUTE PROVENCE,2,60609,52903,50469,2434,23259,27210
5,HAUTES ALPES,1,57418,50072,47684,2388,22384,25300
5,HAUTES ALPES,2,45634,39622,37935,1687,17284,20651
6,ALPES MARITIMES,1,57411,47239,45698,1541,17053,28645
6,ALPES MARITIMES,2,60941,50353,48800,1553,16301,32499
