Code du département,Libellé du département,Code de la circonscription,Inscrits,Votants,Exprimés,Blancs et nuls,Nathalie ARTHAUD (LO),Philippe POUTOU (NPA),Jean-Luc MELENCHON (FG),François HOLLANDE (PS),Eva JOLY (EELV),François BAYROU (MODEM),Nicolas SARKOZY (UMP),Nicolas DUPONT-AIGNAN (DLR),Marine LE PEN (FN),Jacques CHEMINADE (SP)
1,AIN,1,79016,66144,64752,1392,404,697,6038,15675,1286,6704,18845,1465,13482,156
1,AIN,2,86823,73697,72317,1380,330,634,6778,16126,1469,7287,22322,1584,15610,177
1,AIN,3,69832,56310,55280,1030,267,604,5572,12682,1912,6344,17472,1177,9072,178
1,AIN,4,84491,71331,69847,1484,404,680,5748,15084,1340,6920,22666,1636,15186,183
1,AIN,5,73646,60330,59163,1167,389,708,6762,13529,1261,5395,16417,1346,13190,166
2,AISNE,1,72609,58995,58027,968,526,836,5767,16717,742,4013,13626,1164,14519,117
2,AISNE,2,73200,59518,58561,957,422,593,5927,16484,625,3891,14766,1121,14585,147
2,AISNE,3,70339,56670,55643,1027,514,768,5138,15481,472,3182,13422,1032,15500,134
2,AISNE,4,78925,61916,60868,1048,480,753,6960,16841,642,4007,13844,1139,16050,152
2,AISNE,5,80995,66041,64845,1196,548,910,6568,15228,974,4802,16432,1397,17798,188
3,ALLIER,1,90369,75073,73276,1797,546,938,10274,22305,1229,6151,17001,1497,13166,169
3,ALLIER,2,86813,70616,68897,1719,512,894,10932,21366,982,5750,15219,1255,11832,155
3,ALLIER,3,79093,65320,63777,1543,424,752,6763,17460,1021,5913,17257,1316,12738,133
4,ALPES-DE-HAUTE-PROVENCE,1,60613,50678,49591,1087,259,722,7454,12385,1348,3500,12124,886,10785,128
4,ALPES-DE-HAUTE-PROVENCE,2,63320,52221,51197,1024,228,672,7815,12166,1585,3983,13544,959,10090,155
5,HAUTES-ALPES,1,56117,46571,45625,946,250,498,6363,11513,1443,4740,11235,937,8545,101
5,HAUTES-ALPES,2,50748,42048,41152,896,238,654,5812,9735,1704,3819,11420,845,6814,111
6,ALPES-MARITIMES,1,82234,63180,62219,961,167,389,6236,13867,1358,3747,21807,839,13669,140
6,ALPES-MARITIMES,2,82299,66688,65621,1067,204,561,6534,12733,1772,4888,21592,1198,15984,155
