Code du département,Libellé du département,Code de la circonscription,Inscrits,Votants,Exprimés,Blancs et nuls,François HOLLANDE (PS),Nicolas SARKOZY (UMP)
01,AIN,1,79024,65819,61677,4142,27511,34166
01,AIN,2,86845,73070,68995,4075,28617,40378
01,AIN,3,69858,56868,53723,3145,23444,30279
01,AIN,4,84501,70893,66640,4253,26262,40378
01,AIN,5,73638,59937,56039,3898,25499,30540
02,AISNE,1,72627,58568,54675,3893,30001,24674
02,AISNE,2,73203,59401,55437,3964,29145,26292
02,AISNE,3,70334,56747,52699,4048,27977,24722
02,AISNE,4,78930,61692,57518,4174,30819,26699
02,AISNE,5,80979,65668,60691,4977,29318,31373
03,ALLIER,1,90368,75013,69884,5129,40555,29329
03,ALLIER,2,86773,70671,65620,5051,39990,25630
03,ALLIER,3,79070,65448,60704,4744,31070,29634
04,ALPES-DE-HAUTE-PROVENCE,1,60587,50916,47439,3477,24606,22833
04,ALPES-DE-HAUTE-PROVENCE,2,63308,52665,49503,3162,24892,24611
05,HAUTES-ALPES,1,56096,46868,43610,3258,22462,21148
05,HAUTES-ALPES,2,50779,42537,39770,2767,19973,19797
06,ALPES-MARITIMES,1,82281,64260,61193,3067,24783,36410
06,ALPES-MARITIMES,2,82291,67186,63384,3802,24376,39008
